STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/18,41,"H,,S",68,",,S",,,,,5,20,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/19,35,"H,,S",60,",,S",,,,,2,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/20,39,"H,,S",46,",,S",,,,,4,8,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/21,42,"H,,S",51,",,S",,,,,6,11,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/22,45,"H,,S",55,",,S",40,",,S",,,7,13,4
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/23,47,"H,,S",61,",,S",,,,,8,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/24,50,"H,,S",65,",,S",,,,,10,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/25,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/26,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/27,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/28,52,"H,,S",67,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/29,49,"H,,S",69,",,S",,,,,9,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/30,39,"H,,S",,,,,,,4,,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/31,47,"H,,S",61,",,S",,,,,8,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/1,50,"H,,S",66,",,S",,,,,10,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/2,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/3,50,"H,,S",68,",,S",,,,,10,20,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/4,55,"H,,S",69,",,S",40,",,S",,,13,21,4
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/5,55,"H,,S",72,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/6,56,"H,,S",72,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/7,46,"H,,S",70,",,S",,,,,8,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/8,33,"H,,S",,,,,,,1,,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/9,37,"H,,S",54,",,S",,,,,3,12,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/10,31,"H,,S",54,",,S",,,,,-1,12,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/11,28,"H,,S",48,",,S",,,,,-2,9,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/12,37,"H,,S",45,",,S",,,,,3,7,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/13,43,"H,,S",58,",,S",31,",,S",,,6,14,-1
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/14,44,"H,,S",58,",,S",,,,,7,14,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/15,45,"H,,S",61,",,S",,,,,7,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/16,46,"H,,S",61,",,S",,,,,8,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/17,32,"H,,S",59,",,S",,,,,0,15,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/18,43,"H,,S",56,",,S",,,,,6,13,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/19,49,"H,,S",63,",,S",36,",,S",,,9,17,2
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/20,47,"H,,S",63,",,S",,,,,8,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/21,49,"H,,S",62,",,S",,,,,9,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/22,46,"H,,S",63,",,S",,,,,8,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/23,51,"H,,S",63,",,S",,,,,11,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/24,53,"H,,S",67,",,S",40,",,S",,,12,19,4
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/25,53,"H,,S",70,",,S",41,",,S",,,12,21,5
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/26,54,"H,,S",70,",,S",41,",,S",,,12,21,5
